stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
127,,"BOILVIN",,49.103434,6.174773,,http://lemet.fr/screen/index2.php?stop=127,0,,2
111,,"BON SECOURS",,49.107062,6.168939,,http://lemet.fr/screen/index2.php?stop=111,0,,1
92,,"BON SECOURS",,49.107180,6.168711,,http://lemet.fr/screen/index2.php?stop=92,0,,1
6220,,"LES BORDES",,49.114383,6.220983,,http://lemet.fr/screen/index2.php?stop=6220,0,,1
6225,,"LES BORDES",,49.114383,6.220983,,http://lemet.fr/screen/index2.php?stop=6225,0,,1
21,,"LES BORDES",,49.114289,6.222095,,http://lemet.fr/screen/index2.php?stop=21,0,,2
13,,"LES BORDES",,49.114256,6.222136,,http://lemet.fr/screen/index2.php?stop=13,0,,2
65,,"BOTANIQUE",,49.103530,6.161950,,http://lemet.fr/screen/index2.php?stop=65,0,,2
38,,"BOTANIQUE",,49.103745,6.162015,,http://lemet.fr/screen/index2.php?stop=38,0,,2
253,,"BOUCHOTTE",,49.092605,6.181247,,http://lemet.fr/screen/index2.php?stop=253,0,,2
238,,"BOUCHOTTE",,49.092494,6.181268,,http://lemet.fr/screen/index2.php?stop=238,0,,2
994,,"BOURGOGNE",,49.114270,6.227250,,http://lemet.fr/screen/index2.php?stop=994,0,,1
993,,"BOURGOGNE",,49.114206,6.226991,,http://lemet.fr/screen/index2.php?stop=993,0,,1
5053,,"BOUZONVILLE",,49.135105,6.213814,,http://lemet.fr/screen/index2.php?stop=5053,0,,2
5046,,"BOUZONVILLE",,49.135420,6.213610,,http://lemet.fr/screen/index2.php?stop=5046,0,,2
5016,,"BRAZZA",,49.057216,6.167581,,http://lemet.fr/screen/index2.php?stop=5016,0,,1
784,,"BREUIL",,49.160455,6.225830,,http://lemet.fr/screen/index2.php?stop=784,0,,2
783,,"BREUIL",,49.160373,6.225746,,http://lemet.fr/screen/index2.php?stop=783,0,,2
6300,,"HENRI BERGSON",,49.108553,6.220678,,http://lemet.fr/screen/index2.php?stop=6300,0,,1
6305,,"HENRI BERGSON",,49.108553,6.220678,,http://lemet.fr/screen/index2.php?stop=6305,0,,1
330,,"BRION",,49.129720,6.133051,,http://lemet.fr/screen/index2.php?stop=330,0,,1
321,,"BRION",,49.129800,6.134161,,http://lemet.fr/screen/index2.php?stop=321,0,,1
215,,"BEAU RIVAGE",,49.115957,6.150888,,http://lemet.fr/screen/index2.php?stop=215,0,,1
206,,"BEAU RIVAGE",,49.115925,6.150958,,http://lemet.fr/screen/index2.php?stop=206,0,,1
410,,"BUCHOZ",,49.135377,6.149340,,http://lemet.fr/screen/index2.php?stop=410,0,,1
399,,"BUCHOZ",,49.135269,6.149745,,http://lemet.fr/screen/index2.php?stop=399,0,,1
423,,"LA BUTTE",,49.133180,6.147326,,http://lemet.fr/screen/index2.php?stop=423,0,,1
415,,"LA BUTTE",,49.132846,6.147001,,http://lemet.fr/screen/index2.php?stop=415,0,,1
406,,"CAILLOUX",,49.134823,6.137339,,http://lemet.fr/screen/index2.php?stop=406,0,,2
403,,"CAILLOUX",,49.134414,6.136247,,http://lemet.fr/screen/index2.php?stop=403,0,,2
5022,,"CAMELIAS",,49.065974,6.159642,,http://lemet.fr/screen/index2.php?stop=5022,0,,2
839,,"CARCAN",,49.093697,6.086800,,http://lemet.fr/screen/index2.php?stop=839,0,,2
838,,"CARCAN",,49.093788,6.086953,,http://lemet.fr/screen/index2.php?stop=838,0,,2
726,,"CARREFOUR",,49.144461,6.127705,,http://lemet.fr/screen/index2.php?stop=726,0,,2
729,,"CARREFOUR",,49.144416,6.127746,,http://lemet.fr/screen/index2.php?stop=729,0,,2
606,,"CARRIERES",,49.130021,6.209006,,http://lemet.fr/screen/index2.php?stop=606,0,,1
5042,,"CARRIERES",,49.129943,6.209638,,http://lemet.fr/screen/index2.php?stop=5042,0,,1
6060,,"RENE CASSIN",,49.135897,6.165947,,http://lemet.fr/screen/index2.php?stop=6060,0,,1
6065,,"RENE CASSIN",,49.135429,6.166355,,http://lemet.fr/screen/index2.php?stop=6065,0,,1
214,,"CASINO",,49.116462,6.141333,,http://lemet.fr/screen/index2.php?stop=214,0,,1
